film,year,rottentomatoes_scores
Blackhat,2015,25 ; 1.25
Night at the Museum: Secret of the Tomb,2014,58 ; 2.9
Ex Machina,2015,86 ; 4.3
Magic Mike XXL,2015,64 ; 3.2
Inherent Vice,2014,52 ; 2.6
Paddington,2015,81 ; 4.05
The Last Five Years,2015,60 ; 3
Far From The Madding Crowd,2015,77 ; 3.85
Jurassic World,2015,81 ; 4.05
Southpaw,2015,80 ; 4
Clouds of Sils Maria,2015,67 ; 3.35
Project Almanac,2015,46 ; 2.3
The End of the Tour,2015,89 ; 4.45
Pixels,2015,54 ; 2.7
Terminator Genisys,2015,60 ; 3
Mad Max: Fury Road,2015,88 ; 4.4
Minions,2015,52 ; 2.6
The Lazarus Effect,2015,23 ; 1.15
The Divergent Series: Insurgent,2015,61 ; 3.05
"Kumiko, The Treasure Hunter",2015,63 ; 3.15
